date,num_pos,rate_pos
06-01,51,2.5
06-02,32,3.3
06-03,74,4.9
06-04,113,5.4
06-05,55,4.2
06-06,102,2.5
06-07,102,3.8
06-08,93,4.2
06-09,82,4.9
06-10,94,4.5
06-11,145,5.8
06-12,124,6.9
06-13,159,8.4
06-14,170,6.0
06-15,223,8.7
06-16,185,6.5
06-17,241,13.7
06-18,221,12.1
06-19,297,14.0
06-20,398,16.3
06-21,393,16.2
06-22,355,11.6
06-23,295,14.3
06-24,711,20.5
06-25,437,10.2
06-26,692,17.0
06-27,1112,17.3
06-28,784,14.6
06-29,414,15.6
06-30,436,18.4
07-01,709,18.1
07-02,889,18.1
07-03,661,17.1
07-04,648,16.0
07-05,629,16.2
07-06,340,16.5
07-07,675,17.1
07-08,740,16.4
07-09,565,19.9
07-10,987,14.4
07-11,695,13.1
07-12,795,12.4
07-13,660,12.3
07-14,684,16.4
07-15,508,13.4
07-16,538,14.0
07-17,941,16.9
07-18,589,16.0
07-19,609,12.9
07-20,438,12.6
07-21,411,12.0
07-22,339,8.0
07-23,544,12.3
07-24,604,13.4
07-25,590,10.8
07-26,439,9.5
07-27,406,9.8
07-28,339,9.8
07-29,442,10.9
